codigo,cuenta,tipo
1,"Activos",Agrupador
1.1,"Activo Corriente",Agrupador
1.1.1,"Efectivo y Equivalentes a Efectivo",Agrupador
1.1.1.1,"Caja",Caja
1.1.1.2,"Caja Chica",Caja Chica
1.1.1.3,"Banco Pichincha",Banco
1.1.1.4,"Fondo Rotativo",Caja
1.1.2,"Activos Financieros",Agrupador
1.1.2.1,"Activos Financieros con cambios en resultados",Activos Financieros con Cambios en Resultados
1.1.2.2,"Activos Financieros Disponibles para la Venta",Activos Financieros disponibles para la Venta
1.1.2.3,"Activos Financieros mantenidos hasta el vencimiento",Activos Financieros mantenidos hasta el Vencimiento
1.1.2.4,"(-) Provisión por Deterioro",(-) Provisión por Deterioro
1.1.2.5,"Cuentas por Cobrar",Agrupador
1.1.2.5.1,"Clientes Comerciales",Cuenta por Cobrar
1.1.2.5.2,"Clientes Comerciales Exterior",Cuenta por Cobrar del Exterior
1.1.2.5.3,"Socios o Accionistas",Cuenta por Cobrar Relacionadas
1.1.2.5.4,"Funcionarios y/o Empleados",Cuenta por Cobrar Relacionadas
1.1.2.5.5,"Compañías Relacionadas",Cuenta por Cobrar Relacionadas
1.1.2.5.6,"Cheques por Cobrar",Cuenta por Cobrar
1.1.2.5.7,"Tarjeta de crédito (Cobro)",Cuenta por Cobrar (Tarjetas de Crédito)
1.1.2.5.8,"Fidelizaciones Externas",Cuenta por Cobrar
1.1.2.6,"Documentos por Cobrar",Agrupador
1.1.2.6.1,"Clientes Comerciales (Documentos por Cobrar)",Documento por Cobrar
1.1.2.6.2,"Socios o Accionistas",Documento por Cobrar Relacionadas
1.1.2.6.3,"Funcionarios y/o Empleados",Documento por Cobrar Relacionadas
1.1.2.6.4,"Compañías Relacionadas",Documento por Cobrar Relacionadas
1.1.2.7,"Otras Cuentas por Cobrar",Cuenta por Cobrar
1.1.2.7.1,"SuperEasy",Cuenta por Cobrar (Tarjetas de Crédito)
1.1.2.7.2,"Uber",Cuenta por Cobrar (Tarjetas de Crédito)
1.1.2.7.3,"PedidosYa",Cuenta por Cobrar (Tarjetas de Crédito)
1.1.2.7.4,"Rappi",Cuenta por Cobrar (Tarjetas de Crédito)
1.1.2.7.5,"Picker",Cuenta por Cobrar (Tarjetas de Crédito)
1.1.2.8,"Provision para Cuentas Incobrables",Cuenta por Cobrar
1.1.3,"Inventario",Agrupador
1.1.3.1,"Materia Prima",Materia Prima
1.1.3.2,"Producto en Proceso",Productos en Proceso
1.1.3.3,"Suministros o materiales a ser consumidos en el proceso de producción",Suministros o Materiales a ser Consumidos en el Proceso de Producción
1.1.3.4,"Suministros o materiales a ser consumidos en la prestación de servicios",Suministros o Materiales a ser Consumidos en la prestación de Servicios
1.1.3.5,"Productos terminados y mercadería producidos por la compañía",Productos terminados y mercadería producidos por la compañía
1.1.3.6,"Productos terminados y mercadería comprados a terceros",Productos terminados y mercadería comprados a terceros
1.1.3.7,"Mercaderías en Transito",Mercaderías en Transito
1.1.3.8,"Obras en Construcción",Obras en Construcción
1.1.3.9,"Inventarios repuestos, herramientas y accesorios",Inventarios, repuestos, herramientas y accesorios
1.1.3.10,"Otros Inventarios",Otros Inventarios
1.1.3.11,"(-) Provisión de Inventarios por valor neto de realización",(-) Provision de Inventarios por valor neto de realización
1.1.3.12,"(-) Provisión de Inventarios por deterioro",(-) Provision de Inventarios por deterioro
1.1.4,"Servicios y otros Pagos Anticipados",Agrupador
1.1.4.1,"Seguros",Seguros pagados por Anticipado
1.1.4.2,"Garantía de arriendo",Arriendos Pagados por Anticipado
1.1.4.3,"Anticipo a Proveedores",Anticipo Proveedores
1.1.4.4,"Otros Anticipos Entregados",Otros Anticipos Entregados
1.1.5,"Activos por Impuestos Corrientes",Agrupador
1.1.5.1,"IVA sobre Compras",Agrupador
1.1.5.1.1,"IVA sobre Compras",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2,"Retenciones del IVA",Agrupador
1.1.5.2.1,"30% Bienes",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.2,"70% Servicios",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.3,"100% Honorarios, Arrendamientos, Personas Naturales",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.4,"100% Exportadores",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.5,"10% Bienes (Contribuyentes Especiales)",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.6,"20% Servicios (Contribuyentes Especiales)",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.7,"50% Servicios (Exportadores de Recursos Naturales No Renovables)",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.8,"100% Empresas Públicas",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.9,"100% Liquidación de Compra de Bienes y Servicios",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.10,"Retención IVA 0",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.11,"100% Contribuyentes Especiales",Credito Tributario a favor de la Empresa (IVA)
1.1.5.2.12,"100% Operadores de turismo",Credito Tributario a favor de la Empresa (IVA)
1.1.5.3,"Retenciones en la Fuente del Impuesto a la Renta",Agrupador
1.1.5.3.1,"Retenciones renta 2024",Credito Tributario a favor de la Empresa (IR)
1.1.5.3.2,"2% Servicios Tarjeta de crédito",Credito Tributario a favor de la Empresa (IR)
1.1.5.3.3,"Retenciones renta 2025",Credito Tributario a favor de la Empresa (IR)
1.1.5.3.4,"1% Retenciones",Credito Tributario a favor de la Empresa (IR)
1.1.5.3.5,"8% deportistas",Credito Tributario a favor de la Empresa (IR)
1.1.5.3.6,"15% Loterías, Rifas y Similares",Credito Tributario a favor de la Empresa (IR)
1.1.5.3.7,"Otras Retenciones Aplicables al Cód. 343",Credito Tributario a favor de la Empresa (IR)
1.1.5.3.8,"2.75% Servicios",Credito Tributario a favor de la Empresa (IR)
1.1.5.3.9,"1.75% Bienes Muebles de Naturaleza Corporal",Credito Tributario a favor de la Empresa (IR)
1.1.5.3.10,"1.75% Régimen Microempresas",Credito Tributario a favor de la Empresa (IR)
1.1.5.3.11,"Otras autoretenciones",Credito Tributario a favor de la Empresa (IR)
1.1.5.3.12,"Impuesto único a ingresos provenientes de actividades agropecuarias",Credito Tributario a favor de la Empresa (IR)
1.1.5.4,"Anticipo de Impuesto a Renta",Agrupador
1.1.5.4.1,"1era. Cuota Julio",Anticipo de Impuesto a la Renta
1.1.5.4.2,"2da. Cuota Septiembre",Anticipo de Impuesto a la Renta
1.1.6,"Activos No Corrientes Mantenidos para la Venta y Op. desc.",Activos No Corrientes mantenidos para la Venta y descontinuadas.
1.1.7,"Otros Activos Corrientes",Otros Activos Corrientes
1.2,"Activos No Corrientes",Agrupador
1.2.1,"Propiedad, Planta y Equipos",Agrupador
1.2.1.1,"Terrenos",Terrenos
1.2.1.2,"Edificios",Edificios
1.2.1.3,"Construcciones en Curso",Construcciones en Curso
1.2.1.4,"Instalaciones",Instalaciones
1.2.1.5,"Muebles y Enseres",Muebles y Enseres
1.2.1.6,"Maquinarias y Equipos",Maquinarias y Equipos
1.2.1.7,"Equipos de Computación",Equipos de Computación
1.2.1.8,"Vehículos, equipos de transporte y equipo caminero móvil",Vehiculo, equipos de transporte y equipo caminero movil
1.2.1.9,"Otras Propiedades, Planta y Equipo",Otras Propiedades, Planta y Equipo
1.2.1.10,"Repuestos y Herramientas",Repuestos y Herramientas
1.2.1.11,"(-) Depreciación Acumulada Propiedades, Planta y Equipo",(-) Depreciación Acumulada Propiedades, Planta  y Equipo
1.2.1.12,"(-) Deterioro Acumulado Propiedades, Planta y Equipo",(-) Deterioro Acumulado Propiedades, Planta y Equipo
1.2.1.13,"Activos de Exploración y Explotación",Activos de Exploración y Explotación
1.2.1.14,"Naves, Aeronaves, Barcazas y Similares",Naves, Aeronaves, Barcazas y Similares
1.2.2,"Propiedades de Inversion",Agrupador
1.2.2.1,"Terrenos",Terrenos de Inversión
1.2.2.2,"Edificios",Edificios de Inversión
1.2.2.3,"(-) Depreciación Acumulada de Propiedades de Inversión",(-) Deterioro Acumulado de Propiedades de Inversión
1.2.2.4,"(-) Deterioro Acumulado de Propiedades de Inversión",(-) Deterioro Acumulado de Propiedades de Inversión
1.2.3,"Activos Biológicos",Agrupador
1.2.3.1,"Animales Vivos en Crecimiento",Activo fijo
1.2.3.2,"Animales Vivos en Producción",Activo fijo
1.2.3.3,"(-) Depreciación Activos Biológicos",Activo fijo
1.2.3.4,"(-) Deterioro Activos Biológicos",Activo fijo
1.2.4,"Intangibles",Agrupador
1.2.4.1,"Plusvalías",Plusvalías
1.2.4.2,"Marcas, Patentes, Derechos de Llave, Cuotas Patrimoniales",Marcas, Patentes, Derechos de Llave, Cuotas Patrimoniales
1.2.4.3,"Activos de Exploración y Explotación",Activos de Exploración y Explotación
1.2.4.4,"(-) Amortización Acumulada de Activos Intangibles",(-) Amortización Acumulada de Activos Intangibles
1.2.4.5,"(-) Deterioro Acumulado de Activos Intangibles",(-) Deterioro Acumulado de Activos Intangibles
1.2.4.6,"Otros Activos Intangibles",Otros Activos Intangibles
1.2.5,"Activos por Impuestos Diferidos",Activos por Impuestos Diferidos
1.2.6,"Activos Financieros No Corrientes",Agrupador
1.2.6.1,"Activos Financieros mantenidos hasta el Vencimiento No Corrientes",Activos Financieros hasta el vencimiento No Corrientes
1.2.6.2,"(-) Deterioro de Activos Financieros hasta el Vencimiento No Corrientes",(-) Deterioro de Activos Financieros hasta el vencimiento No Corrientes
1.2.6.3,"Documentos y Cuentas por Cobrar No Corrientes",Documentos y Cuentas por Cobrar No Corrientes
1.2.6.4,"(-) Cuentas Incobrables de Activos Financieros No Corrientes",(-) Cuenta Incobrables de Activos Financieros No Corrientes
1.2.7,"Otros Activos No Corrientes",Otros Activos No Corrientes
2,"Pasivos",Agrupador
2.1,"Pasivo Corriente",Agrupador
2.1.1,"Pasivos Financieros con Cambios en Resultados",Pasivos Financieros con cambio en Resultados
2.1.2,"Pasivos por Contratos de Arrendamientos Financieros",Pasivos por Contratos de Arrendamiento Financieros
2.1.3,"Cuentas y Documentos por Pagar",Agrupador
2.1.3.1,"Cuentas por Pagar",Agrupador
2.1.3.1.1,"Proveedores",Cuenta por Pagar
2.1.3.1.2,"Proveedores Exterior",Cuenta por Pagar del Exterior
2.1.3.2,"Documentos por Pagar",Agrupador
2.1.3.2.1,"Documentos por Pagar Proveedores",Documento por Pagar
2.1.3.2.2,"Documentos por Pagar Proveedores Exterior",Documento por Pagar del Exterior
2.1.4,"Obligaciones Con Instituciones Financieras",Agrupador
2.1.4.1,"Obligaciones con Instituciones Financieras Locales",Obligaciones con Instituciones Financieras Locales
2.1.4.2,"Obligaciones con Instituciones Financieras del Exterior",Obligaciones con Instituciones Financieras del Exterior
2.1.4.3,"Tarjeta de crédito (Pago)",Cuenta por Pagar (Tarjetas de Crédito)
2.1.5,"Provisiones",Cuenta por Pagar
2.1.5.1,"Provisiones Locales",Cuenta por Pagar
2.1.5.2,"Provisiones del Exterior",Cuenta por Pagar
2.1.6,"Porcion Corriente de Obligaciones Emitidas",Porción Corriente de Obligaciones Emitidas
2.1.7,"Otras Obligaciones Corrientes",Agrupador
2.1.7.1,"Retenciones del I.E.S.S.",Agrupador
2.1.7.1.1,"9.35% Aportes Individuales",Obligaciones Sociales con el IESS
2.1.7.1.2,"Prestamos Quirografarios",Obligaciones Sociales con el IESS
2.1.7.1.3,"Prestamos Hipotecarios",Obligaciones Sociales con el IESS
2.1.7.2,"Retenciones en la Fuente de Impuestos a la Renta",Agrupador
2.1.7.2.1,"1% Bienes Muebles de Naturaleza Corporal",Obligaciones Tributarias
2.1.7.2.2,"2% Servicios",Obligaciones Tributarias
2.1.7.2.3,"8% Honorarios, Arrendamientos, Docencia, Deportistas",Obligaciones Tributarias
2.1.7.2.4,"25% Extranjeros No Residentes",Obligaciones Tributarias
2.1.7.2.5,"10% Honorarios Profesionales y Dietas",Obligaciones Tributarias
2.1.7.2.6,"15% Loterías, Rifas y Similares",Obligaciones Tributarias
2.1.7.2.7,"Otras Retenciones Aplicables al Cód. 343",Obligaciones Tributarias
2.1.7.2.8,"2.75% Servicios",Obligaciones Tributarias
2.1.7.2.9,"1.75% Bienes Muebles de Naturaleza Corporal",Obligaciones Tributarias
2.1.7.2.10,"1.75% Régimen Microempresas",Obligaciones Tributarias
2.1.7.2.11,"Otras autoretenciones",Obligaciones Tributarias
2.1.7.2.12,"Impuesto único a ingresos provenientes de actividades agropecuarias",Obligaciones Tributarias
2.1.7.3,"Retenciones del Impuesto al Valor Agregado",Agrupador
2.1.7.3.1,"30% Bienes",Obligaciones Tributarias
2.1.7.3.2,"70% Servicios",Obligaciones Tributarias
2.1.7.3.3,"100% Honorarios, Arrendamientos",Obligaciones Tributarias
2.1.7.3.4,"100% Exportadores",Obligaciones Tributarias
2.1.7.3.5,"10% Bienes (Contribuyentes Especiales)",Obligaciones Tributarias
2.1.7.3.6,"20% Servicios (Contribuyentes Especiales)",Obligaciones Tributarias
2.1.7.3.7,"50% Servicios (Exportadores de Recursos Naturales No Renovables)",Obligaciones Tributarias
2.1.7.3.8,"100% Empresas Públicas",Obligaciones Tributarias
2.1.7.3.9,"100% Liquidación de Compra de Bienes y Servicios",Obligaciones Tributarias
2.1.7.3.10,"100% Contribuyentes Especiales",Obligaciones Tributarias
2.1.7.3.11,"100% Operadores de turismo",Obligaciones Tributarias
2.1.7.4,"IVA Sobre Ventas",Agrupador
2.1.7.4.1,"IVA sobre Ventas",Obligaciones Tributarias
2.1.7.5,"Impuestos por Pagar",Agrupador
2.1.7.5.1,"Impuesto a la Renta Cía.",Impuesto a la Renta por Pagar
2.1.7.5.2,"Impuesto a la Junta de Beneficiencia",Obligaciones Tributarias
2.1.7.5.3,"Impuesto a los Activos Totales",Obligaciones Tributarias
2.1.7.5.4,"Impuestos a la Universidad de Guayaquil",Obligaciones Tributarias
2.1.7.5.5,"Impuestos Prediales",Obligaciones Tributarias
2.1.7.5.6,"Impuesto a los Consumos Especiales",Obligaciones Tributarias
2.1.7.6,"Beneficios Sociales por Pagar",Agrupador
2.1.7.6.1,"Décimo Tercer Sueldo",Obligaciones Sociales con el IESS
2.1.7.6.2,"Décimo Cuarto Sueldo",Obligaciones Sociales con el IESS
2.1.7.6.3,"Vacaciones",Obligaciones Sociales con el IESS
2.1.7.6.4,"11.15% Aportes Patronales I.E.S.S.",Obligaciones Sociales con el IESS
2.1.7.6.5,"1% Secap - Iece",Obligaciones Sociales con el IESS
2.1.7.6.6,"Fondos de Reservas",Obligaciones Sociales con el IESS
2.1.7.6.7,"Provisión de Jubilación Patronal",Obligaciones Sociales con el IESS
2.1.7.6.8,"Provisión por Desahucio",Obligaciones Sociales con el IESS
2.1.7.7,"Nominas",Agrupador
2.1.7.7.1,"Sueldos por Pagar",Obligaciones Sociales con el IESS
2.1.7.8,"Participación de Trabajadores",Agrupador
2.1.7.8.1,"10% Trabajadores en General",Participación Trabajadores por Pagar del Ejercicio
2.1.7.8.2,"5% Cargas Familiares",Participación Trabajadores por Pagar del Ejercicio
2.1.7.9,"Dividendos por Pagar a Socios",Dividendos por Pagar
2.1.8,"Cuentas por Pagar Diversas/Relacionadas",Agrupador
2.1.8.1,"Cuenta por Pagar Gabriela Betancourt",Cuenta por Pagar Relacionadas
2.1.8.2,"Cuenta por Pagar Esteban Ricaurte",Cuenta por Pagar Relacionadas
2.1.8.3,"Cuenta por Pagar Compañías Relacionadas",Cuenta por Pagar Relacionadas
2.1.8.4,"Cuenta por Pagar Compañías Relacionadas del Exterior",Cuenta por Pagar Relacionadas
2.1.8.5,"Documentos por Pagar Funcionarios y/o Empleados",Documento por Pagar Relacionadas
2.1.8.6,"Documentos por Pagar Compañías Relacionadas",Documento por Pagar Relacionadas
2.1.8.7,"Cuenta por Pagar Funcionarios y/o Empleados (10% Servicio)",Cuenta por Pagar Relacionadas
2.1.9,"Préstamo Roberto Betancourt por pagar",Otros Pasivos Financieros
2.1.10,"Anticipos de Clientes",Anticipo de Clientes
2.1.11,"Pasivos directamente relacionados con los Activos No Corrientes",Pasivos directamente relacionados con Activos No Corrientes
2.1.12,"Porción Corriente de Provisiones por Beneficios a Empleados",Agrupador
2.1.12.1,"Jubilación Patronal",Jubilación Patronal
2.1.12.2,"Otros Beneficios a largo Plazo para los Empleados",Cuenta por Pagar
2.1.13,"Otros Pasivos Corrientes",Otros Pasivos Corrientes
2.1.14,"Anticipo Gastos Administrativos",Anticipo de Clientes
2.2,"Pasivo No Corriente",Agrupador
2.2.1,"Pasivos por Contratos de Arrendamiento Financiero",Pasivos por Contratos de Arrendamiento Financiero No Corrientes
2.2.2,"Cuentas y Documentos por Pagar",Agrupador
2.2.2.1,"Cuentas por Pagar",Agrupador
2.2.2.1.1,"Proveedores No Corriente",Cuenta por Pagar No Corriente
2.2.2.1.2,"Proveedores Exterior No Corriente",Cuenta por Pagar del Exterior No Corriente
2.2.2.2,"Documentos por Pagar",Agrupador
2.2.2.2.1,"Documento por Pagar Proveedores No Corriente",Documento por Pagar No Corriente
2.2.2.2.2,"Documentos por Pagar Proveedores Exterior No Corriente",Documento por Pagar del Exterior No Corriente
2.2.3,"Obligaciones con Instituciones Financieras",Agrupador
2.2.3.1,"Obligaciones con Instituciones Financieras Locales No Corrientes",Obligaciones con Instituciones Financieras locales No Corrientes
2.2.3.2,"Obligaciones con Instituciones Financieras del Exterior No Corriente",Obligaciones con Instituciones Financieras del Exterior No Corriente
2.2.4,"Cuenta por Pagar Diversas/Relacionadas",Agrupador
2.2.4.1,"Cuenta por Pagar Socios o Accionistas No Corrientes",Cuenta por Pagar Relacionadas No Corriente
2.2.4.2,"Cuenta por Pagar Funcionarios y/o Empleados No Corriente",Cuenta por Pagar Relacionadas No Corriente
2.2.4.3,"Cuenta por Pagar Compañias Relacionadas No Corriente",Cuenta por Pagar Relacionadas No Corriente
2.2.4.4,"Cuenta por Pagar Compañías Relacionadas del Exterior No Corriente",Cuenta por Pagar Compañías Relacionadas del Ext No Corriente
2.2.5,"Obligaciones Emitidas",Obligaciones Emitidas No Corrientes
2.2.6,"Anticipos de Clientes",Anticipos de Clientes No Corrientes
2.2.7,"Provisiones por Beneficios a Empleados",Agrupador
2.2.7.1,"Jubilación Patronal",Obligaciones por Beneficios de Ley No Corrientes
2.2.7.2,"Otros Beneficios No Corrientes Para los Empleados",Otros Beneficios para los Empleados No Corrientes
2.2.8,"Pasivo Diferido",Agrupador
2.2.8.1,"Ingresos Diferidos",Pasivos por Ingresos Diferidos
2.2.8.2,"Pasivos por Impuestos Diferidos",Pasivos por Impuestos Diferidos
2.2.9,"Otros Pasivos No Corrientes",Otros Pasivos No Corrientes
3,"Patrimonio",Agrupador
3.1,"Patrimonio Atribuible a Propietarios",Agrupador
3.1.1,"Capital Social",Agrupador
3.1.1.1,"Capital Social suscrito o pagado",Capital Social Suscrito o Pagado
3.1.1.2,"(-) Capital suscrito no pagado, acciones en tesorería",(-) Capital Suscrito no Pagado, Acciones en Tesorería
3.1.2,"Aportes de Socios o Accionistas para Futura Capitalización",Aportes de Socios o Accionistas para Futura Capitalización
3.1.3,"Prima por Emisión Primaria de Acciones",Prima por emisión Primaria de Acciones
3.1.4,"Reservas",Agrupador
3.1.4.1,"Legal",Legal
3.1.4.2,"Facultativa y Estatutaria",Facultativa y Estatuaria
3.1.4.3,"Reserva de Capital",Reserva de Capital
3.1.5,"Otros Resultados Integrales",Agrupador
3.1.5.1,"Superávit por Valuación de Activos Financieros",Superávit por Valuación de Activos Financieros
